iter,lr,grad_similarity,train_loss,homology_layer_0,homology_layer_1,homology_layer_2,homology_layer_3,homology_layer_4,homology_layer_5,avg_homology_score,val_loss,perplexity
0,0.0,0.07602037489414215,6.201750755310059,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-3.453877638657735,tensor(4.2183),67.91668585026041
100,2.5e-05,0.07575143873691559,4.913270473480225,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,0.48121182567763754,-3.373675667878129,,
200,5e-05,0.11040325462818146,4.841444969177246,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-6.90775527831547,,
300,7.5e-05,0.1765880435705185,4.427189350128174,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
400,0.0001,-0.11714622378349304,4.041335582733154,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-3.453877638657735,,
500,0.000125,0.03188902512192726,3.6694178581237793,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,,
600,0.00015,0.05572817474603653,1.65885329246521,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,,
700,0.00017500000000000003,0.17018067836761475,1.5060285329818726,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,0.6931471810599453,-3.3383531086477443,,
800,0.0002,0.00040097907185554504,1.5081286430358887,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,-6.907755278315471,,
900,0.000225,-0.14458012580871582,1.7992271184921265,0.48121182567763754,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,0.08020197177960632,,
1000,0.00025,0.0890861377120018,1.2106950283050537,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-6.90775527831547,tensor(0.0436),1.044594518438736
1100,0.000275,0.09695392847061157,1.4366936683654785,0.48121182567763754,9.999998601957662e-10,1.000000082240371e-09,1.000000082240371e-09,-20.723265644650162,1.000000082240371e-09,-3.373675635828754,,
1200,0.0003,0.0009851139038801193,1.6953283548355103,0.48121182567763754,-20.72326583694641,0.48121182567763754,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-10.201228976413994,,
1300,0.000325,0.18626579642295837,1.4886363744735718,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.723265644650162,1.000000082240371e-09,-3.4538776066083603,,
1400,0.00035000000000000005,-0.05246283859014511,1.589772343635559,-20.72326583694641,9.999998601957662e-10,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
1500,0.000375,-0.02796345204114914,0.7790737152099609,1.000000082240371e-09,1.000000082240371e-09,0.34657359098707957,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,0.05776226599784667,,
1600,0.0004,-0.014073867350816727,1.4930647611618042,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,9.999998601957662e-10,-20.72326583694641,-20.72326583694641,-13.815510557630938,,
1700,0.000425,0.001357012428343296,1.6921770572662354,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
1800,0.00045,-0.35356366634368896,1.7162063121795654,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,0.48121182567763754,-3.373675667878129,,
1900,0.00047500000000000005,-0.05995931476354599,1.346273422241211,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-10.361632917973205,,
2000,0.0005,-0.030772943049669266,1.4112441539764404,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,-10.361632917973205,tensor(0.0391),1.0399046732190256
2100,0.0004999858377698076,0.05030207708477974,1.3495043516159058,0.34657359098707957,1.000000082240371e-09,0.48121182567763754,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,0.13796423677745293,,
2200,0.000499943352862064,-0.17673148214817047,1.4703760147094727,0.48121182567763754,1.000000082240371e-09,0.48121182567763754,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,0.16040394255921256,,
2300,0.000499872550625045,-0.029079992324113846,1.0257339477539062,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,,
2400,0.0004997734399717958,-0.18979305028915405,1.3331348896026611,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-3.453877638657735,,
2500,0.0004996460333790087,0.1411876678466797,1.143643856048584,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,,
2600,0.0004994903468854525,-0.13469985127449036,1.3986525535583496,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-6.90775527831547,,
2700,0.0004993064000899538,-0.09119673073291779,1.4005720615386963,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-3.453877638657735,,
2800,0.0004990942161489288,-0.11434156447649002,1.5910218954086304,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,0.48121182567763754,-10.281430947193599,,
2900,0.0004988538217734692,0.09703484177589417,1.382870078086853,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-10.361632917973207,,
3000,0.0004985852472259796,-0.0374959260225296,1.7250070571899414,0.48121182567763754,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-3.373675667878129,tensor(0.0370),1.0376773073499648
