iter,train_loss,homology_layer_0,homology_layer_1,homology_layer_2,homology_layer_3,homology_layer_4,homology_layer_5,avg_homology_score,val_loss,perplexity
0,9.779251098632812,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-6.90775527831547,tensor(4.1386),62.712528783095344
100,9.072602272033691,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-10.361632917973205,,
200,8.0610990524292,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-3.453877638657735,,
300,7.392809867858887,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-6.90775527831547,,
400,6.4453020095825195,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
500,4.477078914642334,1.000000082240371e-09,-20.72326583694641,0.48121182567763754,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.827553307535864,,
600,5.13593864440918,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-3.453877638657735,,
700,5.545779228210449,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-3.453877638657735,,
800,5.134637355804443,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,0.48121182567763754,1.000000082240371e-09,0.08020197177960632,,
900,5.054164409637451,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-3.453877638657735,,
1000,4.48136043548584,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,-10.361632917973205,tensor(0.0423),1.0432297876651726
1100,5.405323028564453,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.723265644650162,-6.907755246266095,,
1200,4.328452110290527,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-6.90775527831547,,
1300,5.224793910980225,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-6.907755278315471,,
1400,4.547230243682861,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,0.48121182567763754,-20.72326583694641,-3.373675667878129,,
1500,5.311132431030273,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-6.90775527831547,,
1600,4.983972072601318,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,,
1700,3.579672336578369,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,0.34657359098707957,1.000000082240371e-09,-3.3961153736598884,,
1800,5.325306415557861,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-6.907755278315471,,
1900,4.740246295928955,0.34657359098707957,1.000000082240371e-09,1.000000082240371e-09,9.999998601957662e-10,1.000000082240371e-09,1.000000082240371e-09,0.057762265997846625,,
2000,4.706101894378662,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-3.453877638657735,tensor(0.0377),1.0383976929467875
