iter,train_loss,homology_layer_0,homology_layer_1,homology_layer_2,homology_layer_3,homology_layer_4,homology_layer_5,avg_homology_score,val_loss,perplexity
0,320.5068054199219,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-6.90775527831547,tensor(4.1386),62.712528783095344
100,221.71337890625,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
200,176.0215301513672,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-10.361632917973207,,
300,154.63729858398438,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-10.361632917973207,,
400,99.87515258789062,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
500,100.5256576538086,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,-6.90775527831547,,
600,98.91525268554688,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-13.815510557630938,,
700,105.63446807861328,-20.723265644650162,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,-13.815510525581564,,
800,116.78352355957031,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-6.90775527831547,,
900,76.89176177978516,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-17.269388197288674,,
1000,87.12705993652344,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-6.907755278315473,tensor(0.0566),1.0581987359172886
